# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 495, mean track length: 2.6020202020202019
55 -4.6696669592762596 2.8887764539423677 17.057881350302058 143 122 106 0.11747180435037749 82 2191 8 164
54 -4.762614526197444 2.9867836720917982 17.107565976454143 82 53 36 0.076419261959499746 82 2190 8 166
53 -4.9356806269732463 2.8903450965738897 17.101248481858832 110 55 26 0.14988964667704274 82 2187 8 162
52 -5.4976928910570457 2.9243452951670252 16.880497139294626 152 103 62 0.044387763086563337 82 2185 8 161
51 1.7607859531069094 2.5043763406710142 16.806112705975629 37 20 10 0.016720134435867864 82 2180 8 159
50 0.51984878853776462 2.1817925819627204 17.05964277928631 237 238 233 0.055792262279933613 82 2164 8 152
49 0.5029683389442533 2.3782827538157867 17.157613748438056 228 240 238 0.046322649676242597 82 2162 8 153
48 0.35839912226484094 2.2410817697776295 17.158044045410712 182 142 128 0.054720410046434798 82 2161 8 151
47 -4.8399818190516513 1.8780445763146851 16.753272021807874 89 52 18 0.035181403089174709 82 2146 8 133
46 2.1707198838642001 1.7338610895963904 16.388500729063612 121 89 66 0.092080485003177281 82 2143 8 140
45 2.0015488169685849 1.1923439782713527 16.106967279518429 86 58 36 1.0627916868853085 82 2134 8 128
44 0.62724765382530767 1.3901011287985825 16.766378231421204 226 189 170 0.010201461679762849 82 2131 8 127
43 -3.4715798194101701 1.3112752672505139 16.609622205955198 176 127 123 0.055931714036699699 82 2123 8 113
42 -1.350474605204429 1.1083739609047936 16.846302773387926 198 191 198 0.90942950533297784 82 2118 8 119 6 1049 54 1024 70 495 20 870 16 652 43 1231 36 1031 26 462 76 1316 42 1047 93 595 39 270
41 -1.3061041391318156 0.83085002213710368 16.86121155634309 129 118 117 1.3286139427476915 82 2117 8 94 6 1048 2 1134
40 -3.2749228406389466 0.96740042610297305 16.693502462408549 4 9 5 0.0049377802714164814 82 2114 8 111
39 -3.2749228406389466 0.96740042610297305 16.693502462408549 4 9 5 0.0049377802714164814 82 2113 8 110
38 -3.8328292834440827 0.93068873936206775 16.475546035972588 50 36 38 0.022173360747651558 82 2112 8 109
37 -5.4803555374583395 0.84642570097514425 16.076967390889859 160 118 80 0.039041802323693121 82 2109 8 86
36 1.9587663999149172 0.70906732584429577 16.009365429461567 176 139 110 0.041023267006929466 82 2108 8 102
35 0.68474998082220973 0.55149840509184755 16.345028256396738 14 2 0 0.13385477069726587 82 2104 8 96
34 -3.6776825325271876 0.29692747674276959 16.323883920347875 203 169 160 0.31247836363467929 82 2095 8 81
33 -3.8210558024210992 0.37920772782647649 16.374066538700486 150 121 117 0.083399631638132257 82 2094 8 87
32 0.96661891589946758 0.074179699603414681 16.045836464048623 22 15 7 0.30158226304089597 82 2087 8 83
31 0.96661891589946758 0.074179699603414681 16.045836464048623 22 15 7 0.30158226304089597 82 2086 8 82
30 -4.2860971697658146 -0.14191593501906186 15.953783661365515 46 24 11 0.20975092542059953 82 2079 8 79
13 -0.95571873268157581 -2.5521755710812593 14.613256791483575 50 35 34 0.046732903323585845 82 2012 8 6
